ID,First Name,Last Name,Birth Date,Gender,Children
1,Donald,Duck,1934-06-09,Male,"Huey, Dewey, Louie"
2,Homer,Simpson,1956-05-12,Male,"Bart,Lisa,Maggie"
3,Marge,Simpson,1956-10-01,Female,"Bart,Lisa,Maggie"
4,Clark,Kent,1938-04-18,Male,
5,Bruce,Wayne,1939-03-30,Male,
6,Al,Bundy,1946-04-12,Male,"Kelly,Bud"
7,Peggy,Bundy,1950-04-12,Female,"Kelly,Bud"
8,Peter,Griffin,1953-09-22,Male,"Chris ,Meg,Stewie"
9,Lois,Griffin,1956-02-18,Female,"Chris ,Meg, Stewie"
10,Betty,Boop,1930-01-16,Female,
11,Minnie,Mouse,1928-11-18,Female,
12,Diana,Prince,1941-10-11,Female,
13,Goofy,Goof,1932-05-25,Male,Max
14,Frasier,Crane,1953-03-07,Male,
15,Carla,Tortelli,1948-03-31,Female,"Anthony,Sarafina,Gino,Anne Marie ,Lucia,Ludlow,Elvis,Jesse"
